1.687,0.445,Slight-Right-Turn
0.753,0.457,Sharp-Right-Turn
0.908,0.478,Slight-Right-Turn
1.344,0.496,Move-Forward
1.114,0.56,Move-Forward
0.966,0.612,Move-Forward
0.898,0.638,Sharp-Right-Turn
1.593,0.774,Move-Forward
0.932,0.745,Move-Forward
0.86,0.504,Sharp-Right-Turn
0.873,0.462,Sharp-Right-Turn
1.491,0.46,Slight-Right-Turn
1.202,0.458,Slight-Right-Turn
1.34,0.491,Slight-Right-Turn
1.273,0.545,Move-Forward
0.942,0.679,Move-Forward
0.622,0.786,Sharp-Right-Turn
0.895,0.773,Sharp-Right-Turn
0.937,0.358,Slight-Right-Turn
0.9,0.738,Sharp-Right-Turn
2.67,0.7,Move-Forward
1.441,0.538,Move-Forward
2.171,0.585,Move-Forward
1.916,0.537,Move-Forward
1.278,0.487,Slight-Right-Turn
1.432,0.49,Slight-Right-Turn
1.392,0.496,Move-Forward
1.322,0.509,Move-Forward
0.923,0.638,Move-Forward
0.904,0.645,Move-Forward
0.974,0.517,Move-Forward
3.338,0.423,Slight-Right-Turn
2.935,0.426,Slight-Right-Turn
3.281,0.761,Move-Forward
3.001,0.682,Move-Forward
2.338,0.491,Slight-Right-Turn
1.914,0.471,Slight-Right-Turn
2.209,0.46,Slight-Right-Turn
1.776,0.537,Move-Forward
2.011,3.134,Slight-Left-Turn
1.974,0.495,Move-Forward
1.96,1.434,Slight-Left-Turn
0.928,0.797,Move-Forward
0.881,0.669,Sharp-Right-Turn
0.91,0.583,Move-Forward
0.9,0.581,Sharp-Right-Turn
0.881,0.914,Sharp-Right-Turn
1.325,0.907,Slight-Left-Turn
1.761,0.902,Slight-Left-Turn
0.904,0.711,Move-Forward
1.753,0.867,Move-Forward
0.91,0.495,Move-Forward
0.906,0.494,Slight-Right-Turn
0.9,0.491,Sharp-Right-Turn
1.418,0.498,Move-Forward
0.917,0.73,Move-Forward
1.257,0.785,Move-Forward
1.415,0.812,Move-Forward
1.07,0.904,Slight-Left-Turn
0.967,0.946,Slight-Left-Turn
0.922,0.909,Slight-Left-Turn
1.586,0.497,Move-Forward
2.437,0.577,Move-Forward
1.553,0.466,Slight-Right-Turn
1.401,0.458,Slight-Right-Turn
1.271,0.497,Move-Forward
1.199,0.528,Move-Forward
0.899,0.717,Sharp-Right-Turn
5,0.506,Move-Forward
5,0.475,Slight-Right-Turn
2.491,0.49,Slight-Right-Turn
2.199,0.504,Move-Forward
2.072,0.427,Slight-Right-Turn
1.327,0.889,Move-Forward
1.317,0.9,Move-Forward
1.291,0.937,Slight-Left-Turn
1.061,0.785,Move-Forward
0.902,0.776,Move-Forward
0.904,0.751,Move-Forward
0.9,0.748,Sharp-Right-Turn
0.902,0.684,Move-Forward
0.9,0.661,Sharp-Right-Turn
0.899,0.52,Sharp-Right-Turn
1.074,0.493,Slight-Right-Turn
1.417,0.491,Slight-Right-Turn
1.404,0.494,Slight-Right-Turn
0.906,0.734,Move-Forward
2.52,0.552,Move-Forward
1.054,0.54,Move-Forward
1.898,0.503,Move-Forward
1.855,0.493,Slight-Right-Turn
1.793,0.481,Slight-Right-Turn
1.616,0.449,Slight-Right-Turn
1.387,0.479,Slight-Right-Turn
1.356,0.485,Slight-Right-Turn
1.316,0.494,Slight-Right-Turn
1.306,0.496,Move-Forward
0.896,0.475,Sharp-Right-Turn
3.26,0.511,Move-Forward
2.381,0.525,Move-Forward
2.343,0.507,Move-Forward
2.324,0.501,Move-Forward
1.946,0.491,Slight-Right-Turn
2.195,0.486,Slight-Right-Turn
1.893,0.492,Slight-Right-Turn
2.12,0.512,Move-Forward
2.11,0.491,Slight-Right-Turn
1.954,0.522,Move-Forward
0.894,1.04,Sharp-Right-Turn
0.862,2.575,Sharp-Right-Turn
0.833,4.428,Sharp-Right-Turn
0.895,0.833,Sharp-Right-Turn
1.397,0.494,Slight-Right-Turn
1.315,0.499,Move-Forward
0.91,0.668,Move-Forward
0.893,0.675,Sharp-Right-Turn
0.902,0.74,Move-Forward
1.592,0.49,Slight-Right-Turn
1.581,0.492,Slight-Right-Turn
1.56,0.496,Move-Forward
1.505,0.507,Move-Forward
0.895,0.707,Sharp-Right-Turn
3.287,0.474,Slight-Right-Turn
2.159,0.497,Move-Forward
2.143,0.486,Slight-Right-Turn
1.369,2.692,Slight-Left-Turn
1.163,0.847,Move-Forward
1.115,2.358,Slight-Left-Turn
1.064,0.875,Move-Forward
0.98,0.895,Move-Forward
0.892,0.792,Sharp-Right-Turn
0.9,0.68,Sharp-Right-Turn
0.898,0.503,Sharp-Right-Turn
1.387,0.493,Slight-Right-Turn
1.371,0.496,Move-Forward
0.907,0.655,Move-Forward
2.389,0.481,Slight-Right-Turn
1.828,0.502,Move-Forward
1.406,0.497,Move-Forward
1.397,0.499,Move-Forward
2.51,0.512,Move-Forward
2.491,0.503,Move-Forward
2.471,0.496,Move-Forward
2.451,0.486,Slight-Right-Turn
2.288,0.439,Slight-Right-Turn
2.107,0.495,Move-Forward
2.021,0.492,Slight-Right-Turn
0.91,0.83,Move-Forward
0.903,0.549,Move-Forward
0.902,0.616,Move-Forward
1.321,0.497,Move-Forward
2.678,0.396,Slight-Right-Turn
2.551,0.471,Slight-Right-Turn
2.047,0.544,Move-Forward
0.914,0.512,Move-Forward
1.528,0.486,Slight-Right-Turn
1.371,0.481,Slight-Right-Turn
1.501,0.492,Slight-Right-Turn
1.481,0.495,Move-Forward
1.45,0.502,Move-Forward
0.9,0.692,Sharp-Right-Turn
0.901,0.533,Move-Forward
0.905,0.522,Move-Forward
0.901,0.521,Move-Forward
2.433,0.52,Move-Forward
1.149,1.6,Slight-Left-Turn
0.908,2.468,Slight-Left-Turn
0.894,2.47,Sharp-Right-Turn
0.894,0.649,Sharp-Right-Turn
